,Run Time, Comparisons, Swaps
,3565,498501,999
,0,1495503,2997
,0,2492505,4995
,1061,3489507,6993
,0,4486509,8991
,17978,5483511,10989
,3955,6480513,12987
,4678,7477515,14985
,0,8474517,16983
,0,9471519,18981
Average,3123.7,4985010,9990
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,0,997002,1998
,0,1994004,3996
,15974,2991006,5994
,0,3988008,7992
,0,4985010,9990
,3634,5982012,11988
,3630,6979014,13986
,996,7976016,15984
,0,8973018,17982
,15786,9970020,19980
Average,4002,5483511,1998
